eos,smiles,inchi,inchikey,formula,mw,hba,hbd,tpsa,rb,fp3,logp,violates_ro5,pubchem,chembl,zinc
EOS100169,N=C(N)NCCC[C@@H]1NC(=O)[C@H](CCCCN)NC(=O)[C@@H](Cc2ccccc2)NC(=O)[C@H](CC(=O)O)NC(=O)CNC1=O,"InChI=1S/C27H41N9O7/c28-11-5-4-9-18-24(41)34-17(10-6-12-31-27(29)30)23(40)32-15-21(37)33-20(14-22(38)39)26(43)36-19(25(42)35-18)13-16-7-2-1-3-8-16/h1-3,7-8,17-20H,4-6,9-15,28H2,(H,32,40)(H,33,37)(H,34,41)(H,35,42)(H,36,43)(H,38,39)(H4,29,30,31)/t17-,18-,19+,20-/m0/s1",NVHPXYIRNJFKTE-HAGHYFMRSA-N,C27H41N9O7,603.6810302734375,16,12,270.7200012207031,12,0.5185185074806213,-2.834929943084717,1,CID10196873,CHEMBL2332367,ZINC000003932526
EOS100067,CCCC[C@]1(CC)CS(=O)(=O)c2cc(CNC(CC(=O)O)CC(=O)O)c(OC)cc2[C@@H](c2ccccc2)N1,"InChI=1S/C28H38N2O7S/c1-4-6-12-28(5-2)18-38(35,36)24-13-20(17-29-21(14-25(31)32)15-26(33)34)23(37-3)16-22(24)27(30-28)19-10-8-7-9-11-19/h7-11,13,16,21,27,29-30H,4-6,12,14-15,17-18H2,1-3H3,(H,31,32)(H,33,34)/t27-,28-/m1/s1",CZGVOBIGEBDYTP-VSGBNLITSA-N,C28H38N2O7S,546.6859741210938,9,4,142.02999877929688,13,0.5,3.908099889755249,1,CID53492727,CHEMBL2387408,ZINC000096270862
EOS100068,C[C@@H]1O[C@@]2(CS1)CN1CCC2CC1.Cl,"InChI=1S/C10H17NOS.ClH/c1-8-12-10(7-13-8)6-11-4-2-9(10)3-5-11;/h8-9H,2-7H2,1H3;1H/t8-,10-;/m1./s1",SURWTGAXEIEOGY-GHXDPTCOSA-N,C10H18ClNOS,235.77999877929688,2,0,12.470000267028809,0,1.0,1.9819999933242798,0,CID123603,,
EOS100069,CC(C)(C)c1cc(C=C(C#N)C#N)cc(Br)c1O,"InChI=1S/C14H13BrN2O/c1-14(2,3)11-5-9(4-10(7-16)8-17)6-12(15)13(11)18/h4-6,18H,1-3H3",ABBADGFSRBWENF-UHFFFAOYSA-N,C14H13BrN2O,305.17498779296875,3,1,67.80999755859375,1,0.2857142984867096,3.8827600479125977,0,CID2044,CHEMBL2218926,ZINC000002391886
EOS100001,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C(=O)OC)(c3cc4c(cc3OC)N(C=O)[C@H]3[C@@](O)(C(=O)OC)[C@H](OC(C)=O)[C@]5(CC)C=CCN6CC[C@]43[C@@H]65)C2)C1.O=S(=O)(O)O,"InChI=1S/C46H56N4O10.H2O4S/c1-7-42(55)22-28-23-45(40(53)58-5,36-30(14-18-48(24-28)25-42)29-12-9-10-13-33(29)47-36)32-20-31-34(21-35(32)57-4)50(26-51)38-44(31)16-19-49-17-11-15-43(8-2,37(44)49)39(60-27(3)52)46(38,56)41(54)59-6;1-5(2,3)4/h9-13,15,20-21,26,28,37-39,47,55-56H,7-8,14,16-19,22-25H2,1-6H3;(H2,1,2,3,4)/t28-,37-,38+,39+,42-,43+,44+,45-,46-;/m0./s1",AQTQHPDCURKLKT-PNYVAJAMSA-N,C46H58N4O14S,923.051025390625,18,5,245.77000427246094,8,0.5652173757553101,2.8647000789642334,1,CID5388992,,
EOS100002,CC(C)(C)NC(=O)[C@H]1CC[C@H]2[C@@H]3CC[C@H]4NC(=O)C=C[C@]4(C)[C@H]3CC[C@]12C,"InChI=1S/C23H36N2O2/c1-21(2,3)25-20(27)17-8-7-15-14-6-9-18-23(5,13-11-19(26)24-18)16(14)10-12-22(15,17)4/h11,13-18H,6-10,12H2,1-5H3,(H,24,26)(H,25,27)/t14-,15-,16-,17+,18+,22-,23+/m0/s1",DBEPLOCGEIEOCV-WSBQPABSSA-N,C23H36N2O2,372.5530090332031,4,2,58.20000076293945,1,0.8260869383811951,3.814500093460083,0,CID57363,CHEMBL710,ZINC000003782599
EOS100003,CN1CCN(Cc2ccc(Nc3ncc(Cl)c(Nc4ccccc4S(=O)(=O)N(C)C)n3)cc2)CC1,"InChI=1S/C24H30ClN7O2S/c1-30(2)35(33,34)22-7-5-4-6-21(22)28-23-20(25)16-26-24(29-23)27-19-10-8-18(9-11-19)17-32-14-12-31(3)13-15-32/h4-11,16H,12-15,17H2,1-3H3,(H2,26,27,28,29)",YUAALFPUEOYPNX-UHFFFAOYSA-N,C24H30ClN7O2S,516.0709838867188,9,2,93.69999694824219,8,0.3333333432674408,3.6149001121520996,1,CID56839178,CHEMBL2022968,ZINC000084617535
EOS100070,CCN(Cc1cc(Nc2nc(C)cn3c(-c4cn[nH]c4)cnc23)sn1)C(C)(C)CO.Cl,"InChI=1S/C20H26N8OS.ClH/c1-5-27(20(3,4)12-29)11-15-6-17(30-26-15)25-18-19-21-9-16(14-7-22-23-8-14)28(19)10-13(2)24-18;/h6-10,29H,5,11-12H2,1-4H3,(H,22,23)(H,24,25);1H",YBAZMWNWFHDNTH-UHFFFAOYSA-N,C20H27ClN8OS,463.010986328125,9,3,107.26000213623047,8,0.4000000059604645,3.642519950866699,0,CID53317913,CHEMBL1650533,
EOS100170,O=C(O)c1ccc(O)c(O)c1,"InChI=1S/C7H6O4/c8-5-2-1-4(7(10)11)3-6(5)9/h1-3,8-9H,(H,10,11)",YQUVCSBJEUQKSH-UHFFFAOYSA-N,C7H6O4,154.12100219726562,4,3,77.76000213623047,1,0.0,0.7960000038146973,0,CID72,CHEMBL37537,ZINC000000013246
EOS100071,Cc1nn(-c2ncnc3[nH]cnc23)c2c1C(c1ccc(F)cc1Cl)CC(=O)N2,"InChI=1S/C18H13ClFN7O/c1-8-14-11(10-3-2-9(20)4-12(10)19)5-13(28)25-17(14)27(26-8)18-15-16(22-6-21-15)23-7-24-18/h2-4,6-7,11H,5H2,1H3,(H,25,28)(H,21,22,23,24)",CYQNVXRIWKKWQG-UHFFFAOYSA-N,C18H13ClFN7O,397.8009948730469,8,2,101.37999725341797,2,0.1666666716337204,3.1136200428009033,0,CID135634901,CHEMBL4077818,
